DESCCAPITULO,0
"CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.",46131
BIENES DE CAPITAL,26643
"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS",24645
CAPITULO 10  CEREALES,14158
CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS,12641
"CAPITULO 61  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR, DE PUNTO",8301
"CAPITULO 73 MANUFACTURAS DE FUNDICION, DE HIERRO O DE  ACERO.",8295
"CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS",6844
"CAPITULO 62  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR,  EXCEPTO LOS DE PUNTO",6758
CAPITULO 40CAUCHO Y MANUFACTURAS DE CAUCHO.,6099
CAPITULO 2CARNE Y DESPOJOS COMESTIBLES,5631
"CAPITULO 33ACEITES ESENCIALES Y RESINOIDES; PEPARACIONES DE  PERFUMERIA, DE TOCADOR O DE COSMETICA",4385
CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,4232
"CAPITULO 95JUGUETES, JUEGOS Y ARTICULOS PARA RECREO O PARA DEPORTE; SUS PARTES Y ACCESORIOS",3916
CAPITULO 69 PRODUCTOS CERAMICOS,3705
CAPITULO 63LOS DEMAS ARTICULOS TEXTILES CONFECCIONADOS; JUEGOS O SURTIDOS;PRENDERIA Y TRAPOS,3694
CAPITULO 30PRODUCTOS FARMACEUTICOS,3679
"CAPITULO 48 PAPEL Y CARTON; MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON",3469
"CAPITULO 94MUEBLES; MOBILIARIO MEDICOQUIRURGICO; ARTICULOS  DE CAMA Y SIMILARES; APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;  ANUNCIOS LUMINOSOS, LETREROS LUMINOSOS, PLACASINDICADORAS LUMINOSAS Y ARTICULOS SIMILARES; CONSTRUCCIONES PREFABRICADAS",3315
CAPITULO 23  RESIDUOS Y DESPERDICIOS DE LAS INDUSTRIAS ALIMENTARIAS; ALIMENTOS PREPARADOS PARA ANIMALES,3186
CAPITULO 12 SEMILLAS Y FRUTOS OLEAGINOSOS; SEMILLAS Y FRUTOS  DIVERSOS; PLANTAS INDUSTRIALES O MEDICINALES; PAJA Y FORRAJES,2909
